clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Del_13q22.1	0.160092931350655	0.179187202023213	0.0904894866912365	NA	NA	NA	NA	NA	NA	0.561798691558883	0.56774351173396	0.677940265615415	NA	NA	NA	NA	NA	NA	0.479159529327729	0.482513818490629	0.383718818803408	NA	NA	NA	NA	NA	NA
Amp_13q34	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_14q13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_14q24.2	0.37861720602684	0.393779494905915	0.213498486037575	NA	NA	NA	NA	NA	NA	0.498102645183649	0.50651165900812	0.222741046471785	NA	NA	NA	NA	NA	NA	0.578441962312832	0.579995574901657	0.305717148315631	NA	NA	NA	NA	NA	NA
Del_14q31.3	0.185952787520558	0.215830306371807	0.138721867234374	NA	NA	NA	NA	NA	NA	0.263481874139229	0.287388415658542	0.143498038211577	NA	NA	NA	NA	NA	NA	0.144988348140804	0.157167651240569	0.136509536248431	NA	NA	NA	NA	NA	NA
Amp_14q32.33	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_15q14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_16p12.2	0.541662664670986	0.543679239910331	0.694458375655824	NA	NA	NA	NA	NA	NA	0.974477012958034	0.974477535595351	0.722734925879459	NA	NA	NA	NA	NA	NA	0.813372260227559	0.813896023126525	0.963319376625068	NA	NA	NA	NA	NA	NA
Del_16q23.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_17p13.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_17p13.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_17q11.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_17q25.1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_18q23	0.335180549489592	0.346044904783626	0.403311566125816	0.24605107884325	0.253130821611286	0.798044958430548	0.789608818924093	0.790088715832121	0.84508209923598	0.867866411325804	0.868035675966819	0.21438477811589	0.418932389613422	0.423066561702359	0.566747086760187	0.513896634842887	0.524176056346346	0.42186189640881	0.000357099476851586	0.00103583252120006	5.12717433838982e-09	0.729805193492617	0.73061730116454	0.921415957963627	0.0529380145908431	0.0684423188495157	0.0786273998210812
Amp_19p13.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_19q12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Amp_19q13.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_19q13.41	NA	NA	NA	NA	NA	NA	0.45970207364103	0.465368876995096	0.426268715446934	NA	NA	NA	NA	NA	NA	0.288520902778645	0.301168582549376	0.231937076203599	NA	NA	NA	NA	NA	NA	0.0916338583066512	0.100559052893893	0.010169487081466
Del_19q13.43	NA	NA	NA	NA	NA	NA	0.45970207364103	0.465368876995096	0.426268715446934	NA	NA	NA	NA	NA	NA	0.288520902778645	0.301168582549376	0.231937076203599	NA	NA	NA	NA	NA	NA	0.0916338583066512	0.100559052893893	0.010169487081466
Del_22q13.32	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
