clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Amp_8q24.21	0.660924900033222	0.66127858075932	0.662766393434154	0.892212034132556	0.892984294769414	0.632858301960735	0.539925047338813	0.541230183151278	0.965077121082989	0.678103742016532	0.67844657869638	0.729543712616316	0.920464351635444	0.919570500926489	0.781589915765104	0.740649312575874	0.740912095327673	0.979796476554633	0.459067758151365	0.46017164531061	0.341253006109682	0.755014799692655	0.7549911765236	0.624704654605906	0.595672756323233	0.596164055457703	0.553561172795481
Del_8q24.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_9p21.3	1.44496565792629e-05	4.91520006633807e-05	0.0482204346723079	0.0405780004971513	0.0449451717031928	0.230736603988101	0.129385944343381	0.134796012401281	0.825675368926316	7.16023162516954e-06	3.34982549977009e-05	0.0337807758501388	0.0133283741641901	0.016560328952711	0.060486991032244	0.184253731621074	0.18913612762061	0.931651943726455	0.303210914165963	0.304750496297667	0.836938947347383	0.073991817472566	0.0767150924211905	0.200883441848856	0.579781407844986	0.580325367240415	0.297485286961551
Amp_9q34.3	0.0014430876172955	0.00389670080487591	1.41639967994481e-07	0.413973504863359	0.417887434119292	0.30926989891365	0.14005578721492	0.159066652694241	0.645866652902695	0.000487408897248298	0.00190199747697353	1.80978928742752e-09	0.59432307298637	0.596318856358034	0.510233431439614	0.0788991443678007	0.104475520785733	0.512604471925886	0.0278424129750936	0.0333102572848578	0.00331168401088359	0.368071353337189	0.37137917860682	0.479786622763829	0.00675780480601107	0.0158823387899158	0.0329913413893077
Amp_10p15.1	0.361678503335206	0.364451809538205	0.314873849367508	0.263754649465729	0.265963959131687	0.0840155597780285	0.715042140553311	0.715400807329778	0.338234890548186	0.34618034881614	0.350286166083712	0.356911425808736	0.211829261205641	0.215158815665752	0.0749117879788103	0.83038696011902	0.830475470419828	0.487876892201904	0.736237114395846	0.73688009156799	0.629196806153921	0.734154024563741	0.734806588963069	0.363648502489738	0.917084012494641	0.917090246958339	0.772620961493181
Del_10p15.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10p13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Del_10q23.31	0.00780052982000612	0.0122829277521617	0.000190700826329675	0.0574034206208356	0.0656920455716068	0.0200957933923648	0.489842505300133	0.493693547651767	0.838055055882802	0.00385756582801666	0.00715150980988034	1.1798194825577e-05	0.0319118901981165	0.0394077633770893	0.00519440816649033	0.489842505300133	0.493693547651767	0.838055055882802	0.0777864213148587	0.0838124523982865	0.0545503540834765	0.214213130015258	0.218977834565111	0.641194101986852	0.267927832878259	0.276702473046875	0.317438874621598
Del_10q26.3	0.0163447479103227	0.0196271486425708	0.262444885470573	0.695273415089455	0.696114655075093	0.83267034769076	0.23807312940314	0.246039311918852	0.47118443030312	0.0113357714064916	0.0144916327662774	0.28822770922734	0.53616916586903	0.538154683182945	0.987371132996356	0.258402540032087	0.266185457049229	0.509805999536646	0.00759494842744268	0.00908749755255818	0.0455561076759808	0.968994067711032	0.968720020723689	0.53153169485665	0.0672969571351867	0.0739356908572573	0.0608681730071119
Del_11p15.5	0.000644285032558756	0.00103341073066055	0.000407518464279054	0.000193846365846073	0.000493439378406858	8.7859010447288e-05	0.783599601331465	0.787892346810444	0.976586652816206	0.000513152906864156	0.000910271462160783	0.000562770379467482	0.00167361374440211	0.00307149654032798	0.00160974797566064	0.754454353567102	0.750493722993159	0.718892315761613	0.105414701246381	0.107824613802749	0.306902700064646	0.125066320923773	0.128490099617078	0.423622434257996	0.952568564425501	0.952569364556786	0.840541830957774
