clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3	clonal wt1	clonal wt2	clonal wt3	subclonal wt1	subclonal wt2	subclonal wt3	clonal subclonal1	clonal subclonal2	clonal subclonal3
Amp_5p15.33	0.140835270041523	0.144974423351154	0.0447252998115356	NA	NA	NA	NA	NA	NA	0.204129113096975	0.207889140125061	0.100143005267181	NA	NA	NA	NA	NA	NA	0.0346801832842446	0.0386336765012954	0.00237423536129623	NA	NA	NA	NA	NA	NA
Del_5q34	0.222711201094986	0.220197030503365	0.625161889409415	0.912600733271585	0.911950803205389	0.851244360409273	0.238089068908328	0.240836236960067	0.43275292004397	0.18447971174628	0.181722092342842	0.399519089371983	0.992854297327632	0.99201446528316	0.811407769087795	0.216579915596364	0.220438426674136	0.345454467916071	0.605748359962017	0.606160502899495	0.194722057319527	0.440411282388819	0.44087270084909	0.362678173436238	0.716034545821405	0.711705844511101	0.686447066508264
Del_6p25.3	0.979945599917436	0.972665398736331	0.240507356976582	0.00297586561622087	0.00392483637511013	3.68478390334319e-06	0.00600147305010468	0.00788944069634451	0.256433410129369	0.839819890265787	0.831965441291171	0.203059817232307	0.00331410452928194	0.00440757285575054	1.9390139687528e-06	0.0130830868135093	0.0160890080433924	0.581989529881569	0.227423966488666	0.227372227195463	0.0517115575304753	0.00986366170483099	0.011478554003851	6.771997047608e-05	0.0811589319654274	0.0864951275340215	0.372373236844692
Del_6q22.31	0.0726820834185493	0.0735453803575528	0.161563178328046	0.470944015144978	0.474809866421195	0.776606495725347	0.94816455917325	0.937391141379922	0.754041056429639	0.0906868170222666	0.0917970426852139	0.162317369777185	0.35502474430657	0.360114330291799	0.978758704975138	0.85611298058168	0.867851778476537	0.99964217774236	0.39181199790088	0.392025264197495	0.665353038970352	0.214977063790186	0.215428364558758	0.536123733680404	0.460517867226216	0.459816706870764	0.633607041638369
Del_6q26	0.485427715370828	0.485220656085034	0.591541200142364	0.124032568846197	0.126589973376239	0.23115070046211	0.439974974281549	0.443957472591183	0.908499303241925	0.357934082371397	0.358078041337563	0.400554871338448	0.112438338966546	0.115494769033723	0.162477060246201	0.522744999343995	0.528650968851721	0.998928415836472	0.869646938456416	0.869167582752653	0.773737888072797	0.0472747418551143	0.0483790485883458	0.0485590971932726	0.050505252892161	0.0528870466664956	0.074669812492253
Amp_7p11.2	0.636475995163317	0.637257899538977	0.344393464618977	0.991696705661839	0.994607809839135	0.648362831092275	0.784386783614663	0.782492150973812	0.131008526979665	0.670481516701538	0.671158454969979	0.459218553892597	0.437624311235393	0.440264199492006	0.853825293176772	0.697976659567756	0.700094480349826	0.511017315621736	0.256177184841781	0.255687417417869	0.233528387716968	0.732582649448658	0.731600427204244	0.768091702476046	0.701078813411974	0.698713729782052	0.38083952375005
Amp_7q11.21	0.945432653439804	0.942595097457913	0.534976986492001	0.995831754149492	0.991879986273302	0.311271271766919	0.963120400778699	0.95720479077995	0.357624085422163	0.563006755296657	0.559866030584149	0.964448394155993	0.480384874105748	0.483099308947007	0.867205395427623	0.817146904427312	0.823838602433701	0.570147825392949	0.48175766177031	0.482854560161549	0.875780575110931	0.482306633316223	0.478835654874694	0.456879531654441	0.710948204988459	0.70837312691143	0.853498292837182
Amp_7q21.2	0.781884456798898	0.784408272128049	0.318433296915426	0.974489389924697	0.971349779022071	0.226448179086821	0.944057755135469	0.94871485099083	0.244159888634156	0.763947047135086	0.760887876145704	0.799010134215404	0.509583255471973	0.512264184140848	0.718414390613157	0.764449508873366	0.769790657257091	0.36032288650907	0.689418768565421	0.691808026617989	0.915156785483692	0.449350154940423	0.446431172543612	0.593043269817934	0.475588374039546	0.473747885532858	0.767057307742835
Amp_7q31.2	0.404763436606006	0.406947654110601	0.102844137268569	0.70904587850171	0.705632402218992	0.229987759977712	0.852148119471919	0.857031146066182	0.657622236561446	0.753254723178407	0.756787969078903	0.343609790809658	0.785343152000744	0.78881591626253	0.633998760840123	0.674824056816862	0.68010271935661	0.868617507088431	0.929701510926923	0.927701484945601	0.520758338690336	0.924269163950173	0.918818411208397	0.896237509485437	0.751685985431891	0.749229045377839	0.870734506398126
Amp_7q32.3	0.644855748163891	0.648984212581305	0.249937697305731	0.554935425017133	0.552761254079544	0.100480026547416	0.62060633514395	0.6145210785169	0.222926505214648	0.944905716581849	0.939633879869032	0.621808978966492	0.832086712709559	0.83467835153215	0.504195238270144	0.976465996640909	0.968796586051411	0.520081961652046	0.729164175856557	0.731010070877948	0.908580404856006	0.804541471066977	0.809630680881129	0.572544805323689	0.509267201303673	0.511392652307964	0.363861428622768
