"ROW_ID"	"ROW_VERSION"	"pair_barcode"	"cellularity"	"ploidy"	"slpp"
"132"	"1"	"GLSS-DK-0012-TP-01-NB-01D-WXS"	"0.37"	"4.1"	"0.501033867554705"
"133"	"1"	"GLSS-SM-R066-TP-01-NB-01D-WXS"	"0.58"	"2.7"	"0.500615840128947"
"134"	"1"	"GLSS-NS-0001-M1-01-NB-01D-WGS"	"0.29"	"2.5"	"0.500555769314097"
"135"	"1"	"TCGA-DH-A669-TP-12-NB-01D-WGS"	"0.75"	"6.3"	"0.499199373250361"
"136"	"1"	"GLSS-MG-0006-TP-01-NB-01D-WXS"	"0.81"	"2.6"	"0.497029500242012"
"137"	"1"	"GLSS-HK-0003-R1-01-NB-01D-WGS"	"0.4"	"2"	"0.496833070503041"
"138"	"1"	"GLSS-19-0269-TP-01-NB-01D-WXS"	"0.86"	"3.1"	"0.493574304468918"
"139"	"1"	"GLSS-MD-LP04-TP-01-NB-01D-WXS"	"0.69"	"3.3"	"0.492738006947474"
"140"	"1"	"TCGA-FG-5963-TP-11-NB-01D-WXS"	"0.41"	"1.9"	"0.492397848309394"
"141"	"1"	"TCGA-FG-A4MT-TP-11-NB-01D-WXS"	"0.9"	"2"	"0.49168307591354"
"142"	"1"	"GLSS-HF-2919-R1-01-NB-01D-WXS"	"0.68"	"2.6"	"0.490376254419095"
"143"	"1"	"GLSS-19-0270-TP-01-NB-01D-WXS"	"0.7"	"2.3"	"0.489941543827311"
"144"	"1"	"GLSS-DF-0013-R1-01-NB-01D-WXS"	"0.47"	"2.2"	"0.487761479194777"
"145"	"1"	"TCGA-DU-6407-R1-12-NB-01D-WXS"	"0.76"	"2.3"	"0.484476946767612"
"146"	"1"	"GLSS-CU-R017-TP-01-NB-01D-WXS"	"0.68"	"2.3"	"0.484419767196937"
"147"	"1"	"GLSS-MD-0027-R2-01-NB-01D-WGS"	"0.89"	"2.1"	"0.48179879596828"
"148"	"1"	"GLSS-AT-GP01-TP-01-NB-01D-WXS"	"0.69"	"2"	"0.481427009550241"
"149"	"1"	"GLSS-SM-R072-R1-01-NB-01D-WXS"	"0.71"	"5.4"	"0.480740837641614"
"150"	"1"	"GLSS-AT-00P7-TP-01-NB-01D-WXS"	"0.53"	"2"	"0.478788211695278"
"151"	"1"	"GLSS-NS-0001-R1-01-NB-01D-WGS"	"0.49"	"2.8"	"0.477245469566812"
"152"	"1"	"GLSS-SU-0007-R1-01-NB-01D-WXS"	"0.89"	"2"	"0.475787539852955"
"153"	"1"	"GLSS-DK-0003-TP-01-NB-01D-WXS"	"0.45"	"2"	"0.474902943408778"
"154"	"1"	"GLSS-SM-R101-R1-02-NB-01D-WXS"	"0.73"	"2.1"	"0.468589084245854"
"155"	"1"	"GLSS-MD-0026-R1-01-NB-01D-WGS"	"0.64"	"2"	"0.468120040174513"
"156"	"1"	"GLSS-SM-R109-R1-01-NB-01D-WXS"	"0.65"	"2.1"	"0.468010860206408"
"157"	"1"	"GLSS-MG-0010-TP-01-NM-01D-WXS"	"0.79"	"2.1"	"0.467890203404352"
"158"	"1"	"GLSS-CU-R003-TP-01-NB-01D-WXS"	"0.7"	"2.1"	"0.467386736190601"
