sampleId	Group	SIMS
TCGA.08.0352.01	MS	0.03883785
TCGA.32.4209.01	MS	0.034865325
TCGA.06.0173.01	MS	0.028921124
TCGA.06.0122.01	MS	0.018364908
TCGA.02.0070.01	MS	0.015621412
TCGA.27.2519.01	MS	0.015180762
TCGA.41.4097.01	MS	0.00748875
TCGA.41.3915.01	MS	0.007349843
TCGA.06.0211.01	MS	0.005368218
TCGA.14.0867.01	MS	0.005263096
TCGA.28.1753.01	MS	0.004672548
TCGA.08.0373.01	MS	0.00431613
TCGA.06.0152.01	MS	0.004042363
TCGA.28.1760.01	MS	0.002798936
TCGA.27.1830.01	MS	0.001263942
TCGA.02.0037.01	MS	0.001089749
TCGA.14.1795.01	MS	0.001030193
TCGA.12.1092.01	MS	0.000249995
TCGA.06.1800.01	MS	0.00012999
TCGA.32.1977.01	MS	1.93E-05
TCGA.19.2621.01	CL	0.99998
TCGA.19.4068.01	CL	0.99998
TCGA.06.2563.01	CL	0.99998
TCGA.19.1386.01	CL	0.99998
TCGA.19.5950.01	CL	0.99998
TCGA.12.3653.01	CL	0.99998
TCGA.27.1835.01	CL	0.99998
TCGA.02.0021.01	CL	0.99998
TCGA.87.5896.01	CL	0.999950001
TCGA.19.1789.01	CL	0.999940001
TCGA.27.1833.01	CL	0.999930001
TCGA.02.0016.01	CL	0.999930001
TCGA.02.0009.01	CL	0.999920001
TCGA.12.1600.01	CL	0.999770004
TCGA.06.1804.01	CL	0.999760005
TCGA.02.0113.01	CL	0.999660013
TCGA.14.0786.01	CL	0.999660007
TCGA.27.2526.01	CL	0.999630038
TCGA.14.0790.01	CL	0.999460011
TCGA.19.5958.01	CL	0.999410066
TCGA.06.0747.01	CL	0.999270125
TCGA.06.2566.01	CL	0.999080204
TCGA.12.3648.01	CL	0.998760237
TCGA.19.2631.01	CL	0.998540187
TCGA.08.0358.01	CL	0.998410032
TCGA.12.0826.01	CL	0.998280753
TCGA.19.5951.01	CL	0.997890351
TCGA.06.0126.01	CL	0.997700046
TCGA.19.1786.01	CL	0.997490124
TCGA.06.2565.01	CL	0.997410103
TCGA.06.2564.01	CL	0.995472436
TCGA.08.0357.01	CL	0.99507497
TCGA.41.2572.01	CL	0.993750125
TCGA.02.0023.01	CL	0.992870284
TCGA.06.0127.01	CL	0.991620167
TCGA.08.0375.01	CL	0.991491828
TCGA.06.0185.01	CL	0.990183476
TCGA.19.1791.01	CL	0.98666922
TCGA.28.6450.01	CL	0.986290684
TCGA.06.2561.01	CL	0.983812661
TCGA.28.1757.01	CL	0.981770364
TCGA.06.0743.01	CL	0.980426707
TCGA.12.0688.01	CL	0.978926832
TCGA.19.2619.01	CL	0.977290039
TCGA.81.5910.01	CL	0.975411228
TCGA.32.2495.01	CL	0.971482844
TCGA.32.4719.01	CL	0.969728981
TCGA.06.0145.01	CL	0.967180656
TCGA.12.3649.01	CL	0.965270694
TCGA.15.0742.01	CL	0.963911082
TCGA.08.0244.01	CL	0.962187444
TCGA.06.0158.01	CL	0.955514877
TCGA.28.1749.01	CL	0.953380932
TCGA.14.0787.01	CL	0.949532907
TCGA.06.0125.01	CL	0.948875091
TCGA.02.0115.01	CL	0.942149757
TCGA.28.2506.01	CL	0.939811204
TCGA.08.0386.01	CL	0.937315989
TCGA.06.0157.01	CL	0.933321975
TCGA.08.0355.01	CL	0.913268666
TCGA.12.0707.01	CL	0.894000712
TCGA.27.2528.01	CL	0.880640269
TCGA.19.2620.01	CL	0.868250508
TCGA.12.0656.01	CL	0.844913102
TCGA.76.4931.01	CL	0.84290066
TCGA.06.6390.01	CL	0.839822523
TCGA.26.5132.01	CL	0.837933781
TCGA.41.3392.01	CL	0.814824106
TCGA.06.0882.01	CL	0.813957226
TCGA.12.3652.01	CL	0.809004762
TCGA.32.2632.01	CL	0.808953649
TCGA.08.0246.01	CL	0.768903864
TCGA.28.1755.01	CL	0.725114948
TCGA.02.0057.01	CL	0.717217976
TCGA.06.2557.01	CL	0.706927796
TCGA.06.0137.01	CL	0.703555944
TCGA.32.1982.01	CL	0.702964124
TCGA.12.0657.01	CL	0.699226015
TCGA.12.0819.01	CL	0.697447225
TCGA.06.0133.01	CL	0.6974068
TCGA.32.1970.01	CL	0.691046179
TCGA.06.0744.01	CL	0.689966463
TCGA.27.2518.01	CL	0.678719638
TCGA.02.0038.01	CL	0.655596918
TCGA.12.5295.01	CL	0.636997947
TCGA.19.1388.01	CL	0.616278378
TCGA.06.5415.01	CL	0.615157697
TCGA.02.0043.01	CL	0.609631845
TCGA.19.5959.01	CL	0.596732043
TCGA.06.5859.01	CL	0.594782952
TCGA.32.1991.01	CL	0.594561438
TCGA.02.2485.01	CL	0.561543153
TCGA.28.5220.01	CL	0.561068779
TCGA.06.0879.01	CL	0.543285862
TCGA.27.2523.01	CL	0.532948155
TCGA.06.0877.01	CL	0.51300461
TCGA.06.2567.01	CL	0.509631795
TCGA.14.1453.01	CL	0.490229638
TCGA.06.5414.01	CL	0.483950321
TCGA.76.4927.01	CL	0.483631785
TCGA.06.5858.01	CL	0.467629861
TCGA.28.5219.01	CL	0.447211056
TCGA.12.1089.01	CL	0.441911162
TCGA.06.0184.01	CL	0.425764809
TCGA.06.0208.01	CL	0.413114066
TCGA.19.5960.01	CL	0.405945292
TCGA.14.1827.01	CL	0.381722932
TCGA.19.2625.01	CL	0.378047865
TCGA.27.1831.01	CL	0.378033839
TCGA.28.1747.01	CL	0.363122738
TCGA.08.0380.01	CL	0.333906649
TCGA.14.2554.01	CL	0.3152205
TCGA.08.0389.01	CL	0.277534864
TCGA.02.0083.01	CL	0.272446523
TCGA.02.0027.01	CL	0.267213102
TCGA.12.0670.01	CL	0.239572567
TCGA.26.1799.01	CL	0.239237893
TCGA.15.1446.01	CL	0.231441484
TCGA.28.2514.01	CL	0.22412827
TCGA.12.0820.01	CL	0.219341088
TCGA.02.0102.01	CL	0.205670916
TCGA.08.0354.01	CL	0.185007136
TCGA.06.0187.01	CL	0.184271987
TCGA.06.5408.01	CL	0.176835097
TCGA.27.1838.01	CL	0.169563766
TCGA.32.1979.01	CL	0.163263115
TCGA.08.0349.01	CL	0.147752545
TCGA.32.2638.01	CL	0.147737045
TCGA.12.0828.01	CL	0.141813828
TCGA.06.0214.01	CL	0.128085139
TCGA.28.1752.01	CL	0.112465579
TCGA.12.5299.01	CL	0.104243069
TCGA.26.1439.01	CL	0.103152681
TCGA.76.4928.01	CL	0.089295229
TCGA.19.5954.01	CL	0.069127353
TCGA.08.0356.01	CL	0.058677066
TCGA.27.1837.01	CL	0.053769873
TCGA.02.0089.01	CL	0.045283933
TCGA.14.1034.01	CL	0.024888756
TCGA.02.0071.01	CL	0.019808704
TCGA.12.1599.01	CL	0.01588765
TCGA.12.0692.01	CL	0.013401948
TCGA.12.0778.01	CL	0.004757238
TCGA.06.5856.01	CL	0.004303961
TCGA.02.0068.01	CL	0.003098822
TCGA.19.5952.01	CL	0.000379981
