array	sample	call.status	purity	ploidy	Genome.doublings	Coverage.for.80..power	Cancer.DNA.fraction	Subclonal.genome.fraction	solution
TCGA-16-0861-01	TCGA-16-0861-01A-01D-0384-01	called	0.88	1.91	0	9	0.87	0.04	new
TCGA-19-0957-01	TCGA-19-0957-01C-01D-0591-01	called	0.74	2.08	0	11	0.75	0.07	new
TCGA-19-1385-01	TCGA-19-1385-01A-02D-0591-01	called	0.6	2	0	14	0.6	0.18	new
TCGA-19-1386-01	TCGA-19-1386-01A-01D-0591-01	called	0.9	2.03	0	9	0.9	0.01	new
TCGA-19-1387-01	TCGA-19-1387-01A-01D-0591-01	called	0.82	2.05	0	10	0.82	0.34	new
TCGA-19-1388-01	TCGA-19-1388-01A-01D-0591-01	called	0.65	3.49	1	19	0.76	0.27	new
TCGA-19-1389-01	TCGA-19-1389-01A-01D-0591-01	called	0.36	1.91	0	26	0.35	0	new
TCGA-19-1390-01	TCGA-19-1390-01A-01D-0911-01	called	0.8	3.72	1	17	0.88	0.19	new
TCGA-19-1786-01	TCGA-19-1786-01A-01D-0591-01	called	0.87	2.06	0	9	0.88	0.08	new
TCGA-19-1787-01	TCGA-19-1787-01B-01D-0911-01	called	0.86	1.21	0	6	0.78	0.12	new
TCGA-19-1789-01	TCGA-19-1789-01A-01D-0591-01	called	0.9	1.99	0	9	0.9	0	new
TCGA-19-1791-01	TCGA-19-1791-01A-01D-0591-01	called	0.95	2.03	0	8	0.95	0	new
TCGA-19-2620-01	TCGA-19-2620-01A-01D-0911-01	called	0.66	1.96	0	12	0.66	0.08	new
TCGA-19-2621-01	TCGA-19-2621-01B-01D-0911-01	called	0.92	1.91	0	8	0.91	0.01	new
TCGA-19-2624-01	TCGA-19-2624-01A-01D-0911-01	called	0.94	2.01	0	8	0.94	0.01	new
TCGA-19-2625-01	TCGA-19-2625-01A-01D-0911-01	called	0.65	1.93	0	12	0.64	0.1	new
TCGA-19-2629-01	TCGA-19-2629-01A-01D-0911-01	called	0.6	3.48	1	20	0.73	0.5	new
TCGA-19-4065-01	TCGA-19-4065-01A-01D-2002-01	called	0.47	3.13	1	26	0.58	0.24	new
TCGA-19-5950-01	TCGA-19-5950-01A-11D-1694-01	called	0.84	2.04	0	10	0.84	0.02	new
TCGA-19-5951-01	TCGA-19-5951-01A-11D-1694-01	called	0.93	1.98	0	8	0.93	0.05	new
TCGA-19-5952-01	TCGA-19-5952-01A-11D-1694-01	called	0.69	1.95	0	11	0.68	0	new
TCGA-19-5954-01	TCGA-19-5954-01A-11D-1694-01	called	0.8	2.01	0	10	0.8	0.03	new
TCGA-19-5955-01	TCGA-19-5955-01A-11D-1694-01	called	0.38	1.97	0	24	0.37	0.1	new
TCGA-19-5956-01	TCGA-19-5956-01A-11D-1694-01	called	0.89	3.8	1	17	0.94	0.1	new
TCGA-19-5958-01	TCGA-19-5958-01A-11D-1694-01	called	0.75	2.02	0	11	0.75	0.03	new
TCGA-19-5959-01	TCGA-19-5959-01A-11D-1694-01	called	0.92	2.01	0	9	0.92	0.07	new
TCGA-19-5960-01	TCGA-19-5960-01A-11D-1694-01	called	0.97	1.84	0	7	0.96	0.06	new
TCGA-26-1439-01	TCGA-26-1439-01A-01D-1224-01	called	0.66	3.46	1	19	0.77	0.28	new
TCGA-26-1799-01	TCGA-26-1799-01A-02D-0591-01	called	0.84	2.03	0	10	0.84	0	new
TCGA-26-5133-01	TCGA-26-5133-01A-01D-1479-01	called	0.89	1.77	0	8	0.88	0.1	new
TCGA-26-5134-01	TCGA-26-5134-01A-01D-1479-01	called	0.92	1.93	0	8	0.92	0	new
TCGA-26-5135-01	TCGA-26-5135-01A-01D-1479-01	called	0.81	2	0	10	0.81	0	new
